,Total_Reward
1158,-54.47994
1159,-120.05466
1160,-54.476486
1161,-2254.6968
1162,-197.2807
1163,-535.27136
1164,-54.833412
1165,-93.88312
1166,-655.301
1167,-54.82113
1168,-54.890213
1169,-170.46669
1170,-853.6214
1171,-54.241158
1172,-54.7443
1173,-76.664734
1174,-54.913227
1175,-54.435783
1176,-54.498386
1177,-54.588676
1178,-690.0308
1179,-54.992912
1180,-54.53035
1181,-128.85013
1182,-1145.1738
1183,-731.3633
1184,-417.695
1185,-71.83629
1186,-530.3948
1187,-70.24572
1188,-54.902622
1189,-59.887203
1190,-54.7268
1191,-54.68627
1192,-622.1464
1193,-54.69259
1194,-87.09512
1195,-565.94037
1196,-576.53674
1197,-66.28843
1198,-54.978558
1199,-566.1612
1200,-8742.309
1201,-490.79807
1202,-415.16455
1203,-79.240875
1204,-579.28375
1205,-480.04407
1206,-54.628014
1207,-54.613575
1208,-196.19284
1209,-196.03995
1210,-54.805656
1211,-54.118057
1212,-477.94238
1213,-59.10302
1214,-821.02325
1215,-79.35155
1216,-570.64374
1217,-415.63016
1218,-54.708588
1219,-54.786728
1220,-80.805466
1221,-134.72815
1222,-4429.1436
1223,-449.65976
1224,-537.5707
1225,-669190.44
1226,-59.351513
1227,-72.474525
1228,-2721.7993
1229,-21450.9
1230,-95.24589
1231,-126.18228
1232,-487.53653
1233,-59.453983
1234,-54.644966
1235,-419.46924
1236,-69.57436
1237,-3088.411
1238,-392.11737
1239,-54.8799
1240,-54.4878
1241,-450.41333
1242,-54.687046
1243,-2263.4487
1244,-476.02332
1245,-459.17648
1246,-1572.5309
1247,-54.597157
1248,-507.66168
1249,-518.5243
1250,-442.99908
1251,-54.95078
1252,-484.98676
1253,-54.518913
1254,-474.68442
1255,-60.33765
1256,-479.34958
1257,-47253.547
1258,-54.553333
1259,-110.2094
1260,-529.7813
1261,-591.56256
1262,-71.610886
1263,-74467.68
1264,-65.21124
1265,-553.8024
1266,-108.88655
1267,-388.60703
1268,-89.378204
1269,-195.77411
1270,-392.51535
1271,-596.0132
1272,-497.54254
1273,-54.6305
1274,-710.77466
1275,-125.22308
1276,-197.52765
1277,-54.59611
1278,-448.68127
1279,-54.699554
1280,-447.3096
1281,-54.53247
1282,-400.70142
1283,-471.44876
1284,-54.38736
1285,-60.009956
1286,-54.832047
1287,-59.348316
1288,-54.833763
1289,-65.090065
1290,-60.08215
1291,-429.14297
1292,-54.433243
1293,-538.8889
1294,-54.76485
1295,-54.647865
1296,-455.17508
1297,-54.83457
1298,-54.62804
1299,-54.52703
1300,-54.73099
1301,-138.77481
1302,-64.98559
1303,-4453.183
1304,-54.65642
1305,-54.39853
1306,-65.06789
1307,-54.94874
1308,-152.15591
1309,-54.64695
1310,-257.6325
1311,-498.0805
1312,-54.716236
1313,-54.65142
1314,-197.64627
1315,-197.06566
1316,-197.54077
1317,-395.29926
1318,-59.054443
1319,-472.68533
1320,-404.66357
1321,-54.991352
1322,-492.05533
1323,-478.99237
1324,-54.441364
1325,-421.45758
1326,-54.481796
1327,-438.1948
1328,-470.32617
1329,-479.73633
1330,-63.58772
1331,-720.4328
1332,-519.60046
1333,-467.2281
1334,-197.728
1335,-54.500393
1336,-54.52826
1337,-99.31356
1338,-518.9453
1339,-351.31647
1340,-386.60703
1341,-54.705322
1342,-473.72424
1343,-489.43417
1344,-19398.602
1345,-420.1767
1346,-354.5762
1347,-96.8305
1348,-54.479057
1349,-502.24976
1350,-410.69208
1351,-54.638542
1352,-54.8212
1353,-54.725815
1354,-373.6595
1355,-54.827343
1356,-55.07363
1357,-2352.5032
1358,-54.880695
1359,-54.562172
1360,-502.08066
1361,-597.29346
1362,-75.78621
1363,-54.629387
1364,-145.25958
1365,-54.175587
1366,-428.29376
1367,-544.8971
1368,-111.69614
1369,-64.645386
1370,-90.02647
1371,-554.2363
1372,-197.74046
1373,-214.54861
1374,-54.793343
1375,-424.79416
1376,-55.07723
1377,-54.845146
1378,-54.981678
1379,-514.0363
1380,-54.880676
1381,-991.0647
1382,-54.107525
1383,-473.35327
1384,-436.14203
1385,-429.53113
1386,-565.38855
1387,-66.155334
1388,-421.61908
1389,-642.94476
1390,-54.591717
1391,-197.63205
1392,-542.2178
1393,-451.77866
1394,-469.02335
1395,-461.98346
1396,-59.602768
1397,-54.574993
1398,-431.95377
1399,-70.011
1400,-71.19233
1401,-790.92145
1402,-472.28223
1403,-477.65656
1404,-54.514038
1405,-197.02306
1406,-631.94525
1407,-54.739243
1408,-60.24345
1409,-54.61774
1410,-54.70866
1411,-54.685432
1412,-54.63989
1413,-432.67413
1414,-657.05615
1415,-59.74872
1416,-536.15015
1417,-71.392876
1418,-416.28455
1419,-54.827682
1420,-260.8277
1421,-55.05802
1422,-581.47253
1423,-107.47406
1424,-494.21176
1425,-183.08987
1426,-54.551163
1427,-54.87981
1428,-501.96008
1429,-57.77147
1430,-197.76578
1431,-54.735207
1432,-55.070778
1433,-559.62994
1434,-455.5286
1435,-382.63882
1436,-54.923904
1437,-379.57916
1438,-54.413414
1439,-550.43066
1440,-372.35254
1441,-483.04523
1442,-54.390167
1443,-54.75259
1444,-3759.796
1445,-71.756165
1446,-54.88715
1447,-75.75693
1448,-607.82306
1449,-481.58896
1450,-88.39749
1451,-59.150764
1452,-538.3358
1453,-72.76701
1454,-459.6979
1455,-546.9987
1456,-625.9495
1457,-475.28082
1458,-54.45801
1459,-54.983196
1460,-438.8947
1461,-114.7805
1462,-413.44037
1463,-54.89492
1464,-473.1623
1465,-483.14746
1466,-54.314075
1467,-54.50238
1468,-54.501278
1469,-54.66693
1470,-418.32452
1471,-65.16888
1472,-59.657524
1473,-9615.768
1474,-54.78349
1475,-163.10779
1476,-559.4909
1477,-78.46064
1478,-55.113007
1479,-54.718613
1480,-524.0928
1481,-406.80103
1482,-423.57742
1483,-343.27612
1484,-438.4028
1485,-54.675217
1486,-212.00946
1487,-54.66356
1488,-59.737114
1489,-524.40265
1490,-552.8409
1491,-84.887596
1492,-500.7803
1493,-77.96268
1494,-2666.3008
1495,-54.122093
1496,-55.039745
1497,-54.460064
1498,-77.47459
1499,-602.77344
1500,-54.058132
1501,-54.6816
1502,-54.689407
1503,-54.48394
1504,-554.95905
1505,-449.95715
1506,-54.458252
1507,-55.00516
1508,-54.577835
1509,-54.760513
1510,-197.71817
1511,-481.44885
1512,-565.981
1513,-54.97976
1514,-77.50284
1515,-55.136078
1516,-411.30466
1517,-55.08834
1518,-197.78905
1519,-502.9078
1520,-54.359077
1521,-54.455544
1522,-54.619556
1523,-54.7335
1524,-22601.025
1525,-54.61423
1526,-611.5047
1527,-197.67917
1528,-488.61942
1529,-54.779766
1530,-99.84699
1531,-696.59656
1532,-54.779137
1533,-65.10823
1534,-187.28763
1535,-85.68566
1536,-54.65716
1537,-425.4994
1538,-454.55032
1539,-651.3293
1540,-644.0555
1541,-589.0486
1542,-807.65845
1543,-54.95159
1544,-54.365738
1545,-495.3629
1546,-432.16107
1547,-197.64975
1548,-432.9491
1549,-54.888268
1550,-304.26688
1551,-54.467285
1552,-54.621365
1553,-54.44349
1554,-54.77918
1555,-54.865135
1556,-427.23865
1557,-54.775017
1558,-54.913437
1559,-433.66608
1560,-54.272213
1561,-399.67758
1562,-54.53897
1563,-54.79858
1564,-731.14856
1565,-196.93536
1566,-206.74939
1567,-54.947147
1568,-197.46825
1569,-54.77606
1570,-197.61047
1571,-54.033955
1572,-733.6487
1573,-18817.6
1574,-54.89129
1575,-54.057663
1576,-493.00394
1577,-487.93884
1578,-568.04236
1579,-75.98826
1580,-677.5216
1581,-545.9837
1582,-506.22647
1583,-54.580284
1584,-59.50204
1585,-890.8549
1586,-712.9688
1587,-504.1057
1588,-54.55992
1589,-67.91864
1590,-54.496162
1591,-474.45923
1592,-470.74628
1593,-107.17236
1594,-54.782265
1595,-442.7611
1596,-100.80661
1597,-197.77057
1598,-382.50336
1599,-54.876984
1600,-65.760956
1601,-456.7182
1602,-97.882095
1603,-54.68091
1604,-459.34573
1605,-614.3973
1606,-91.35834
1607,-54.814167
1608,-492.46518
1609,-55.02028
1610,-474.52603
1611,-439.39542
1612,-54.32792
1613,-587.3322
1614,-626.3618
1615,-54.80114
1616,-477.00458
1617,-504.70255
1618,-489.22412
1619,-119.87126
1620,-54.022835
1621,-65.086075
1622,-395.1637
1623,-704.1584
1624,-54.65521
1625,-54.79483
1626,-59.82332
1627,-291.6761
1628,-54.630985
1629,-54.948975
1630,-55.051483
1631,-424.72122
1632,-2361.8813
1633,-54.31652
1634,-59.69061
1635,-54.8145
1636,-54.522648
1637,-466.59607
1638,-537.2584
1639,-82.674385
1640,-656.04877
1641,-419.6095
1642,-54.51449
1643,-70.726715
1644,-385.78204
1645,-54.46975
1646,-125.38519
1647,-59.57592
1648,-556.32477
1649,-63.922226
1650,-67573.29
1651,-54.586075
1652,-54.961906
1653,-58.08157
1654,-275.27908
1655,-54.6632
1656,-54.7278
1657,-112.916916
1658,-516.49133
1659,-433.46558
1660,-197.59398
