,Total_Reward
643,-408.60593
644,-58136.457
645,-54.301678
646,-169.92978
647,-61.44915
648,70.07302
649,-54.198315
650,-60.564224
651,-53.699062
652,71.78063
653,-53.852253
654,50.503944
655,-53.92528
656,-65.35198
657,-313.14404
658,86.13698
659,-67.00308
660,-54.01925
661,69.24073
662,-57.17707
663,-54.308105
664,-288.87836
665,83.45316
666,78.39707
667,-54.328022
668,81.10296
669,-284.25342
670,-53.920326
671,-54.20171
672,-53.84711
673,-53.758778
674,-60.106567
675,-74.18931
676,-58.081474
677,-299.94885
678,-54.12143
679,-54.004517
680,-53.836353
681,-53.793766
682,78.92058
683,-53.987
684,73.72493
685,-67.42931
686,-60.810764
687,-53.907204
688,-53.917953
689,-70.227875
690,-72.0567
691,-53.831676
692,-54.153774
693,-54.223488
694,-57.413727
695,83.66911
696,55.36236
697,-54.019855
698,43.564728
699,-53.958042
700,-53.921352
701,-53.793243
702,-54.128906
703,-152.57327
704,-53.799217
705,31.346992
706,-54.16716
707,-53.768528
708,-53.939007
709,85.564186
710,-78.339066
711,-61.841812
712,-54.09809
713,-54.4394
714,-54.0556
715,-1552.5334
716,-5.590042
717,-212.35428
718,-315.112
719,-54.758537
720,-1697.4176
721,80.22652
722,77.82158
723,0.019302368
724,-54.436462
725,83.837776
726,-53.730198
727,-53.778324
728,-225.59534
729,-54.03238
730,-278.57288
731,-400.51074
732,-54.30227
733,69.6793
734,-309.67117
735,-63.89619
736,-54.0615
737,82.356445
738,-54.091396
739,-53.861958
740,-53.777897
741,-53.96397
742,84.80514
743,-70.12494
744,79.36315
745,-62.368393
746,-53.964798
747,-2997.6555
748,-53.916935
749,87.897675
750,-53.984524
751,80.73223
752,81.37705
753,-54.008713
754,-54.030148
755,-53.7699
756,56.71547
757,-1121.9492
758,-334.749
759,83.038666
760,83.74411
761,-54.238842
762,-53.913197
763,-53.984955
764,-203.46089
765,-53.809814
766,-276.13373
767,-3288.468
768,79.26531
769,-53.986614
770,-69.081894
771,-54.088165
772,-53.851624
773,-53.766514
774,-53.972553
775,72.525
776,-53.956635
777,-57.09139
778,-54.364655
779,-57.876617
780,82.07116
781,74.794205
782,-591.5655
783,182.88632
784,-358.63464
785,19.09741
786,-57.1626
787,-197.33418
788,77.31118
789,-64.40421
790,-53.804665
791,80.03242
792,-53.748898
793,73.73221
794,-54.012524
795,-53.86658
796,-53.99736
797,-53.771515
798,-53.960354
799,-57.160633
800,-53.79335
801,-426.13974
802,-263.9184
803,85.45788
804,180.51501
805,-53.786354
806,75.6093
807,81.36679
808,82.11098
809,-66.79618
810,71.123665
811,-53.7807
812,-56.520424
813,-54.02667
814,71.51691
815,66.56612
816,-53.687447
817,-1159.116
818,-242.01352
819,80.743286
820,-54.293015
821,-53.86284
822,-62.15738
823,-60.802902
824,-53.95988
825,-396.51483
826,-53.996323
827,-53.793713
828,-197.43517
829,-53.976196
830,-53.899673
831,80.57686
832,-429.16382
833,-57.77138
834,-54.056683
835,-53.751133
836,77.145424
837,-53.72752
838,67.95598
839,-54.07068
840,82.11642
841,-197.41656
842,-3806.9607
843,47.58608
844,-197.47572
845,-53.952568
846,-90.65535
847,-53.99467
848,82.19273
849,-197.3887
850,-54.136524
851,83.39734
852,-225.02356
853,-53.81919
854,73.40809
855,-63.27895
856,-53.912804
857,-53.92577
858,85.00286
859,-54.12471
860,-197.25967
861,-80.53705
862,-305.52576
863,-53.964066
864,80.006775
865,-54.17446
866,-75.80047
867,72.38835
868,-54.224907
869,-53.840237
870,-257.5864
871,-54.313923
872,69.623825
873,43.25295
874,-54.068462
875,-53.784653
876,-53.745667
877,-53.899162
878,79.40096
879,-53.84007
880,-53.95691
881,-64.78749
882,179.22926
883,-54.051304
884,-197.3746
885,-33674.39
886,-1798.7142
887,-69.05503
888,73.423134
889,34.021935
890,-67.93156
891,84.881096
892,-60.04643
893,-53.984524
894,-54.182045
895,-70.48532
896,-54.069664
897,-53.708378
898,-53.877754
899,-61.12126
900,-53.78058
901,-54.46826
902,86.40499
903,-54.124653
904,-285.82166
905,-53.91305
906,-53.922688
907,-54.007603
908,-53.87784
909,-53.93439
910,-17330.268
911,83.69514
912,82.43243
913,-53.78895
914,-54.07589
915,81.458496
916,83.711494
917,-21774.89
918,72.07006
919,-54.060562
920,-2671.9866
921,-53.965813
922,-197.46721
923,-53.766224
924,85.28567
925,-58.291553
926,-61.112083
927,70.53404
928,-53.688713
929,-53.956936
930,84.070114
931,-53.87463
932,80.85368
933,-351.6013
934,-72.55482
935,-354.91882
936,84.2621
937,-53.65517
938,-54.3893
939,-54.207306
940,-63.997173
941,-53.86159
942,-64.28118
943,-54.169884
944,78.29985
945,-57.957516
946,-197.48984
947,70.88633
948,-65.278175
949,64.52719
950,-59.46707
951,-54.014343
952,-197.54399
953,-54.069435
954,-54.153996
955,-61.019455
956,-53.867558
957,-153480.86
958,-287.8389
959,-265016.25
960,74.628975
961,-53.813465
962,-1622.6948
963,-60.199158
964,79.73863
965,-197.31984
966,-363.39847
967,-327.3407
968,-196.24323
969,69.491714
970,-53.97273
971,-54.313194
972,-400.14136
973,68.5529
974,47.365364
975,-53.92621
976,80.752266
977,-53.702457
978,-262.8048
979,89.05398
980,-53.766502
981,70.15625
982,-53.9596
983,85.968575
984,-174.2672
985,-54.2873
986,-196.818
987,-197.17514
988,-28557.852
989,-53.726166
990,-196.84807
991,-53.873856
992,-53.91011
993,-196.91669
994,-196.60486
995,-196.03152
996,-197.09125
997,-53.870735
998,-62.17185
999,80.32803
1000,-175.08664
1001,-238.44586
1002,-54.025547
1003,-53.799
1004,67.83912
1005,79.82837
1006,85.43258
1007,78.62
1008,-53.887287
1009,-54.270863
1010,-197.14378
1011,-361.45435
1012,56.320267
1013,-59.647564
1014,-61.18893
1015,-197.16219
1016,-54.05144
1017,-350.7306
1018,-135.8833
1019,-196.79576
1020,-54.06035
1021,-196.94255
1022,-196.65422
1023,-196.79922
1024,-196.65605
1025,-1893.9629
